Final5k,Final10k,FinalHalf,FinalFull,MPH5K,MPH10K,MPHHalf,MPHFull
0 : 41 : 20,0 : 54 : 56,2 : 1 : 48,4 : 48 : 52,4.5,6.7718446601941755,6.4532019704433505,5.441957073621047
0 : 57 : 50,1 : 38 : 19,3 : 24 : 12,6 : 55 : 13,3.2161383285302594,3.7836921512120703,3.849167482859941,3.7859751936739854
0 : 26 : 06,1 : 09 : 24,2 : 4 : 15,3 : 57 : 7,7.126436781609196,5.360230547550432,6.325955734406438,6.629647852674492
1 : 33 : 51,2 : 17 : 56,4 : 0 : 37,7 : 16 : 40,1.9818859882791693,2.696955050749154,3.266606635727644,3.6
1 : 33 : 50,2 : 17 : 56,4 : 0 : 36,7 : 16 : 40,1.9822380106571937,2.696955050749154,3.266832917705736,3.6
0 : 32 : 15,0 : 51 : 47,1 : 58 : 10,6 : 2 : 9,5.767441860465117,7.1837785645317025,6.651622002820874,4.340742786138341
0 : 31 : 50,1 : 03 : 12,2 : 21 : 27,6 : 2 : 9,5.842931937172775,5.886075949367088,5.556733828207848,4.340742786138341
0 : 52 : 57,1 : 28 : 00,2 : 39 : 4,5 : 13 : 51,3.5127478753541075,4.2272727272727275,4.941324392288348,5.0087621475227015
0 : 33 : 01,1 : 10 : 23,3 : 13 : 41,5 : 35 : 20,5.6335184250378605,5.285342173810087,4.058170553308665,4.687872763419484
0 : 45 : 26,1 : 30 : 10,3 : 27 : 44,7 : 3 : 47,4.09391049156273,4.1256931608133085,3.7836970474967906,3.7094427183702363
0 : 24 : 57,0 : 50 : 49,1 : 55 : 59,4 : 19 : 11,7.454909819639279,7.320432928829124,6.776835752263256,6.065204809980065
0 : 39 : 46,1 : 19 : 57,2 : 55 : 18,6 : 25 : 5,4.677284157585918,4.652908067542214,4.483742156303479,4.082233282839212
0 : 37 : 52,1 : 11 : 00,2 : 37 : 0,5 : 53 : 8,4.911971830985916,5.23943661971831,5.006369426751593,4.451576363979611
0 : 35 : 00,1 : 09 : 49,2 : 40 : 7,6 : 10 : 11,5.314285714285714,5.32824063022201,4.908920578744665,4.246544504975012
0 : 54 : 17,1 : 19 : 52,3 : 0 : 36,6 : 41 : 2,3.4264660730733807,4.657762938230385,4.352159468438538,3.9198736597124095
0 : 32 : 07,1 : 06 : 31,2 : 32 : 24,5 : 39 : 21,5.791385573430203,5.59258331245302,5.15748031496063,4.632385442758213
0 : 24 : 30,0 : 49 : 50,1 : 51 : 14,4 : 24 : 16,7.591836734693878,7.464882943143812,7.066227150134852,5.9485368314833496
1 : 00 : 19,1 : 49 : 48,2 : 37 : 52,6 : 16 : 34,3.083724785852445,3.387978142076503,4.978885135135135,4.174559617597592
1 : 00 : 19,1 : 49 : 47,2 : 38 : 51,6 : 1 : 7,3.083724785852445,3.3884924851981175,4.948064211520302,4.353163797480039
0 : 19 : 36,0 : 45 : 53,1 : 33 : 55,3 : 26 : 20,9.489795918367346,8.10751907010534,8.369121561668145,7.618739903069466
0 : 43 : 41,1 : 20 : 43,2 : 30 : 26,5 : 20 : 44,4.25791682563907,4.608713607268222,5.2249058276091285,4.901267927665766
0 : 29 : 53,1 : 15 : 02,2 : 36 : 33,5 : 52 : 32,6.224205242610151,4.95779653487339,5.020760140530181,4.459152798789712
