LOCATION,River MILE,SPP,Species Name,SDATE,Year,Season,SEX,Length(mm),Weight(g),Moisture(%),Lipid(%),Total PCB(ppm),Lipid PCB(ppm)= Total PCB/Lipid (%),OverLimit
PIERMONT,24.8,WC,Catfish (White),20060517,2006,Spring,F,447,1408,81.2,1.25,1.529,122.32,No
PIERMONT,24.8,WC,Catfish (White),20060517,2006,Spring,F,438,1412,79.5,3.59,2.83,78.83,Yes
PIERMONT,24.8,WC,Catfish (White),20060517,2006,Spring,F,447,1484,81.7,2.32,1.888,81.379,No
PIERMONT,24.8,WC,Catfish (White),20060517,2006,Spring,F,434,1494,82.3,1.14,0.295,25.877,No
PIERMONT,24.8,WC,Catfish (White),20060517,2006,Spring,M,444,1590,80.9,2.66,1.506,56.617,No
PIERMONT,24.8,WC,Catfish (White),20060517,2006,Spring,M,454,1718,80.9,3.6,2.629,73.028,Yes
PIERMONT,24.8,WC,Catfish (White),20060517,2006,Spring,F,502,2418,81.4,4.04,4.68,115.842,Yes
PIERMONT,24.8,WC,Catfish (White),20070606,2007,Summer,M,301,364,78.5,1.79,0.849,47.43,No
PIERMONT,24.8,WC,Catfish (White),20070606,2007,Summer,M,332,544,72.4,6.91,2.895,41.896,Yes
PIERMONT,24.8,WC,Catfish (White),20070606,2007,Summer,F,347,670,80.7,3.43,0.942,27.464,No
PIERMONT,24.8,WC,Catfish (White),20070606,2007,Summer,F,352,688,80.3,1.92,0.899,46.823,No
PIERMONT,24.8,WC,Catfish (White),20070606,2007,Summer,M,357,774,81.2,1.54,0.785,50.974,No
PIERMONT,24.8,WC,Catfish (White),20070606,2007,Summer,F,366,782,80.9,1.07,0.592,55.327,No
PIERMONT,24.8,WC,Catfish (White),20070606,2007,Summer,M,393,792,82,0.82,0.493,60.122,No
PIERMONT,24.8,WC,Catfish (White),20070606,2007,Summer,M,377,860,81,2.25,1.528,67.911,No
PIERMONT,24.8,WC,Catfish (White),20070606,2007,Summer,M,369,868,79.4,2.2,1.395,63.409,No
PIERMONT,24.8,WC,Catfish (White),20070606,2007,Summer,F,378,884,82.4,1.77,0.718,40.565,No
PIERMONT,24.8,WC,Catfish (White),20070606,2007,Summer,M,372,892,77.9,3.14,1.625,51.752,No
PIERMONT,24.8,WC,Catfish (White),20070606,2007,Summer,M,415,1000,81.6,2.23,1.131,50.717,No
PIERMONT,24.8,WC,Catfish (White),20070606,2007,Summer,M,399,1032,79.3,3.1,1.232,39.742,No
PIERMONT,24.8,WC,Catfish (White),20070606,2007,Summer,M,404,1070,81.8,2.89,1.775,61.419,No
PIERMONT,24.8,WC,Catfish (White),20070606,2007,Summer,F,406,1152,81.4,1.47,0.867,58.98,No
PIERMONT,24.8,WC,Catfish (White),20070606,2007,Summer,M,410,1224,79.9,3.06,1.797,58.725,No
